name;url;category;city;country;type
Babbel;https://www.babbel.com/;;Berlin;Germany;Startup
Wunder;https://wunder.org;;Hamburg;Germany;Startup
Nebenan.de;https://nebenan.de/;;Berlin;Germany;Startup
SuitePad;http://www.suitepad.de/;;Berlin;Germany;Startup
Bloomy Days;https://www.bloomydays.com;;Berlin;Germany;Startup
Trecker;https://www.trecker.com/;;Berlin;Germany;Startup
POSpulse;http://www.pospulse.com/;;Berlin;Germany;Startup
Modomoto;http://modomoto.com/;;Berlin;Germany;Startup
Grover;https://getgrover.com/de;;Berlin;Germany;Startup
Adjust;https://www.adjust.com/;;Berlin;Germany;Startup
Finleap;https://www.finleap.com;;Berlin;Germany;Company Builder
Casper;https://casper.com;;Berlin;Germany;Startup
Project A;https://www.project-a.com;;Berlin;Germany;Company Builder
Marley Spoon;https://marleyspoon.de/;;Berlin;Germany;Startup
AskCharlie;https://www.askcharlie.de/;;Berlin;Germany;Startup
Conichi;https://www.conichi.com;;Berlin;Germany;Startup
Insurgo;https://app.insurgo.io/;;Berlin;Germany;Startup
Monoqi;https://monoqi.com;;Berlin;Germany;Startup
Devolute;http://www.devolute.org/;;Berlin;Germany;Agency
Blacklane;https://www.blacklane.com/en;;Berlin;Germany;Startup
Playtestcloud;https://www.playtestcloud.com/;;Potsdam;Germany;Startup
HelloCoach;http://www.hellocoach.de/;;Berlin;Germany;Startup
Dentolo;https://www.dentolo.de/;;Berlin;Germany;Startup
7Mind;https://7mind.de;;Berlin;Germany;Startup
Dynport;http://www.dynport.de/;;Hamburg;Germany;Agency
Eventinc;https://www.eventinc.de;;Hamburg;Germany;Startup
Taledo;https://www.taledo.com;;Berlin;Germany;Startup
Optimus Search;http://www.optimussearch.com/;;Berlin;Germany;Headhunter
etventure;http://www.etventure.com/;;Berlin;Germany;Company Builder
zinsbaustein;https://www.zinsbaustein.de;;Berlin;Germany;Startup
Clark;https://www.clark.de;;Frankfurt;Germany;Startup
Valendo;https://www.valendo.de/;;Berlin;Germany;Startup
hub:raum;https://www.hubraum.com/locations/berlin;;Berlin;Germany;Accelerator
iversity;https://iversity.org/;;Berlin;Germany;Startup
honeypot.io;http://honeypot.io/;;Berlin;Germany;Headhunter
HitFox;http://www.hitfoxgroup.com/;;Berlin;Germany;Company Builder
Drooms;https://www.drooms.com/;;Frankfurt;Germany;Startup
Albus White;https://albuswhite.com/;;Berlin;Germany;Startup
conichiwa;https://conichiwa.com/;;Berlin;Germany;Agency
Blinkist;https://www.blinkist.com/;;Berlin;Germany;Startup
edespiekermann;https://www.edenspiekermann.com/;;Berlin;Germany;Agency
ad2games;https://www.ad2games.com/;;Berlin;Germany;Startup
sofatutor;https://www.sofatutor.com/;;Berlin;Germany;Startup
onrooby;https://onrooby.com/;;Berlin;Germany;Agency
Homeday;https://www.homeday.de/;;Berlin;Germany;Startup
Homify;http://www.homify.com/;;Berlin;Germany;Startup
fromatob;https://www.fromatob.com/;;Berlin;Germany;Startup
GoEuro;https://www.goeuro.com/;;Berlin;Germany;Startup
Sensorberg;https://www.sensorberg.com/;;Berlin;Germany;Startup
Better Payment;http://www.betterpayment.de/;;Berlin;Germany;Startup
elopay;http://elopaygroup.com/;;Berlin;Germany;Startup
decimo;https://www.decimo.de/;;Berlin;Germany;Startup
asana rebel;https://asanarebel.com/;;Berlin;Germany;Startup
Zalando;https://www.zalando.de/;;Berlin;Germany;Corporate
avarteq;https://www.avarteq.de/;;Berlin;Germany;Agency
BCG DV;http://www.bcgdv.com/;;Berlin;Germany;Consulting
FinReach;http://www.finreach.de/;;Berlin;Germany;Startup
pinuts;https://www.pinuts.de/;;Berlin;Germany;Agency
crealytics;https://crealytics.com;;Berlin;Germany;Startup
jovoto;https://www.jovoto.com/;;Berlin;Germany;Startup
Funding Circle;https://www.fundingcircle.com;;Berlin;Germany;Startup
Sopra Steria;https://www.soprasteria.com/en;;Berlin;Germany;Consulting
Rocket Internet;https://www.rocket-internet.com/;;Berlin;Germany;Company Builder
Movinga;https://www.movinga.com/;;Berlin;Germany;Startup
Fairmondo;https://www.fairmondo.de;;Berlin;Germany;Startup
Applift;http://www.applift.com/;;Berlin;Germany;Startup
